dataset,family,mode,tier,difficulty_score,transfer_recallB,nearest_train_family
CICIoT2023,botnet_mirai,holdout,Hard,0.6464,1.0,spoofing_mitm
CICIoT2023,backdoor_malware_ransomware,loo,Medium,0.3593,0.8485,web_injection
CICIoT2023,bruteforce_password,loo,Medium,0.4254,0.6269,recon
CICIoT2023,ddos,loo,Easy,0.3285,1.0,dos
CICIoT2023,dos,loo,Easy,0.2164,1.0,ddos
CICIoT2023,recon,loo,Medium,0.4302,0.7749,web_injection
CICIoT2023,spoofing_mitm,loo,Medium,0.5374,0.6094,web_injection
CICIoT2023,web_injection,loo,Medium,0.4085,0.617,recon
TON_IoT,backdoor_malware_ransomware,holdout,Medium,0.5,1.0,bruteforce_password
TON_IoT,backdoor_malware_ransomware,loo,Easy,0.0472,0.9869,recon
TON_IoT,bruteforce_password,loo,Medium,0.4929,0.6482,spoofing_mitm
TON_IoT,ddos,loo,Easy,0.3161,0.7598,recon
TON_IoT,dos,loo,Medium,0.3733,0.7608,web_injection
TON_IoT,recon,loo,Easy,0.1721,0.9976,backdoor_malware_ransomware
TON_IoT,spoofing_mitm,loo,Medium,0.4816,0.6886,bruteforce_password
TON_IoT,web_injection,loo,Easy,0.3363,0.7526,backdoor_malware_ransomware
BoT-IoT,theft_exfiltration,holdout,Hard,0.6268,0.4114,recon
BoT-IoT,ddos,loo,Easy,0.2399,0.9986,dos
BoT-IoT,dos,loo,Easy,0.2479,0.9932,ddos
BoT-IoT,recon,loo,Hard,0.9512,0.1255,ddos
Edge-IIoTset,backdoor_malware_ransomware,holdout,Medium,0.4057,0.5,web_injection
Edge-IIoTset,backdoor_malware_ransomware,loo,Medium,0.4759,0.2769,web_injection
Edge-IIoTset,ddos,loo,Hard,0.9323,0.0034,web_injection
Edge-IIoTset,recon,loo,Medium,0.4286,0.9609,bruteforce_password
Edge-IIoTset,web_injection,loo,Medium,0.466,0.3099,backdoor_malware_ransomware
UNSW-NB15,shellcode,holdout,Medium,0.3835,0.7448,backdoor_malware_ransomware
UNSW-NB15,worms,holdout,Easy,0.2346,0.974,dos
UNSW-NB15,analysis,loo,Medium,0.5354,0.1373,recon
UNSW-NB15,backdoor_malware_ransomware,loo,Easy,0.2683,0.9324,recon
UNSW-NB15,dos,loo,Easy,0.3175,0.9161,generic
UNSW-NB15,exploits,loo,Medium,0.3561,0.9288,dos
UNSW-NB15,fuzzers,loo,Medium,0.5882,0.2006,generic
UNSW-NB15,generic,loo,Easy,0.3283,0.9139,dos
UNSW-NB15,recon,loo,Easy,0.2485,0.4666,backdoor_malware_ransomware
