dataset,family,mode,tier,difficulty_score,transfer_recallB,nearest_train_family
CICIoT2023,botnet_mirai,holdout,Hard,0.6986,1.0,dos
CICIoT2023,backdoor_malware_ransomware,loo,Medium,0.3692,0.8939,web_injection
CICIoT2023,bruteforce_password,loo,Medium,0.4261,0.6965,recon
CICIoT2023,ddos,loo,Medium,0.4866,1.0,dos
CICIoT2023,dos,loo,Medium,0.3845,1.0,ddos
CICIoT2023,recon,loo,Medium,0.4326,0.813,web_injection
CICIoT2023,spoofing_mitm,loo,Medium,0.431,0.6583,web_injection
CICIoT2023,web_injection,loo,Medium,0.3982,0.6761,recon
TON_IoT,backdoor_malware_ransomware,holdout,Easy,0.2954,0.9213,bruteforce_password
TON_IoT,backdoor_malware_ransomware,loo,Easy,0.2698,0.9939,bruteforce_password
TON_IoT,bruteforce_password,loo,Easy,0.2673,0.9982,backdoor_malware_ransomware
TON_IoT,ddos,loo,Medium,0.3821,0.8748,backdoor_malware_ransomware
TON_IoT,dos,loo,Medium,0.3653,0.7796,web_injection
TON_IoT,recon,loo,Easy,0.3144,0.9993,web_injection
TON_IoT,spoofing_mitm,loo,Medium,0.4698,0.84,ddos
TON_IoT,web_injection,loo,Easy,0.3156,0.9138,dos
BoT-IoT,ddos,loo,Easy,0.256,1.0,dos
BoT-IoT,dos,loo,Easy,0.256,1.0,ddos
BoT-IoT,recon,loo,Hard,0.7034,0.9776,ddos
Edge-IIoTset,backdoor_malware_ransomware,holdout,Easy,0.2554,1.0,web_injection
Edge-IIoTset,recon,holdout,Easy,0.2647,1.0,ddos
Edge-IIoTset,backdoor_malware_ransomware,loo,Easy,0.2558,1.0,web_injection
Edge-IIoTset,bruteforce_password,loo,Easy,0.3353,1.0,backdoor_malware_ransomware
Edge-IIoTset,ddos,loo,Easy,0.3285,1.0,web_injection
Edge-IIoTset,recon,loo,Medium,0.4472,1.0,bruteforce_password
Edge-IIoTset,spoofing_mitm,loo,Easy,0.275,1.0,web_injection
Edge-IIoTset,web_injection,loo,Easy,0.2493,1.0,backdoor_malware_ransomware
UNSW-NB15,shellcode,holdout,Easy,0.1679,0.8861,recon
UNSW-NB15,worms,holdout,Easy,0.2012,0.9819,exploits
UNSW-NB15,analysis,loo,Medium,0.4679,0.3544,backdoor_malware_ransomware
UNSW-NB15,backdoor_malware_ransomware,loo,Easy,0.2653,0.9416,analysis
UNSW-NB15,dos,loo,Easy,0.255,0.932,exploits
UNSW-NB15,exploits,loo,Easy,0.3335,0.925,dos
UNSW-NB15,fuzzers,loo,Medium,0.5379,0.105,recon
UNSW-NB15,generic,loo,Medium,0.5618,0.9002,fuzzers
UNSW-NB15,recon,loo,Easy,0.3245,0.4967,fuzzers
