dataset,column,dtype,n_unique,n_missing,example,is_label,role,drop_reason
CIC-IoT2023,flow_duration,float64,532761,0,0.0,False,keep,
CIC-IoT2023,Header_Length,float64,204469,0,53.46,False,keep,
CIC-IoT2023,Protocol Type,float64,2938,0,5.94,False,keep,
CIC-IoT2023,Duration,float64,7156,0,63.36,False,keep,
CIC-IoT2023,Rate,float64,962060,0,3.917327000507092,False,keep,
CIC-IoT2023,Srate,float64,962060,0,3.917327000507092,False,keep,
CIC-IoT2023,Drate,float64,77,0,0.0,False,keep,
CIC-IoT2023,fin_flag_number,float64,2,0,0.0,False,keep,
CIC-IoT2023,syn_flag_number,float64,2,0,0.0,False,keep,
CIC-IoT2023,rst_flag_number,float64,2,0,0.0,False,keep,
CIC-IoT2023,psh_flag_number,float64,2,0,0.0,False,keep,
CIC-IoT2023,ack_flag_number,float64,2,0,0.0,False,keep,
CIC-IoT2023,ece_flag_number,float64,2,0,0.0,False,keep,
CIC-IoT2023,cwr_flag_number,float64,2,0,0.0,False,keep,
CIC-IoT2023,ack_count,float64,262,0,0.0,False,keep,
CIC-IoT2023,syn_count,float64,730,0,0.0,False,keep,
CIC-IoT2023,fin_count,float64,441,0,0.0,False,keep,
CIC-IoT2023,urg_count,float64,9453,0,0.0,False,keep,
CIC-IoT2023,rst_count,float64,23313,0,0.0,False,keep,
CIC-IoT2023,HTTP,float64,2,0,0.0,False,keep,
CIC-IoT2023,HTTPS,float64,2,0,0.0,False,keep,
CIC-IoT2023,DNS,float64,2,0,0.0,False,keep,
CIC-IoT2023,Telnet,float64,1,0,0.0,False,drop,zero-variance / empty
CIC-IoT2023,SMTP,float64,1,0,0.0,False,drop,zero-variance / empty
CIC-IoT2023,SSH,float64,2,0,0.0,False,keep,
CIC-IoT2023,IRC,float64,1,0,0.0,False,drop,zero-variance / empty
CIC-IoT2023,TCP,float64,2,0,1.0,False,keep,
CIC-IoT2023,UDP,float64,2,0,0.0,False,keep,
CIC-IoT2023,DHCP,float64,2,0,0.0,False,keep,
CIC-IoT2023,ARP,float64,2,0,0.0,False,keep,
CIC-IoT2023,ICMP,float64,2,0,0.0,False,keep,
CIC-IoT2023,IPv,float64,2,0,1.0,False,keep,
CIC-IoT2023,LLC,float64,2,0,1.0,False,keep,
CIC-IoT2023,Tot sum,float64,98497,0,567.54,False,keep,
CIC-IoT2023,Min,float64,29183,0,54.0,False,keep,
