sample_id,dataset,split,true_label_multiclass,true_label_family,y_known,pred_class,pred_correct,max_fidelity,runner_up_fidelity,margin,fid_true_class,nonconformity,nonconformity_true,trace_distance_nearest,fid__DDoS,fid__DoS,fid__Normal,fid__Reconnaissance
0,BoT-IoT,calibration,Normal,benign,1,Normal,1,0.93298859615926,0.6470012807625671,0.28598731539669286,0.93298859615926,0.06701140384074,0.06701140384074,0.04938025715956466,0.5260933140788978,0.6470012807625671,0.93298859615926,0.39478330072403023
1,BoT-IoT,calibration,DoS,dos,1,DoS,1,0.988108764289906,0.5411942968667518,0.4469144674231542,0.988108764289906,0.011891235710093984,0.011891235710093984,0.007295101883210552,0.5411942968667518,0.988108764289906,0.3565446463065075,0.4852836890119405
2,BoT-IoT,calibration,DDoS,ddos,1,DDoS,1,0.9613224808671131,0.5845754748080014,0.3767470060591117,0.9613224808671131,0.03867751913288686,0.03867751913288686,0.03301135627582006,0.9613224808671131,0.5845754748080014,0.21614501008118467,0.2650882487576553
3,BoT-IoT,calibration,DoS,dos,1,DoS,1,0.8146528332294691,0.5717165574839439,0.24293627574552523,0.8146528332294691,0.18534716677053087,0.18534716677053087,0.1251310269166499,0.5717165574839439,0.8146528332294691,0.5558665951350753,0.17404210937226178
4,BoT-IoT,calibration,DDoS,ddos,1,DDoS,1,0.9719679568373035,0.3830055831160095,0.588962373721294,0.9719679568373035,0.028032043162696474,0.028032043162696474,0.016910173242065524,0.9719679568373035,0.3830055831160095,0.29052804102215335,0.374897765322236
5,BoT-IoT,calibration,DoS,dos,1,DoS,1,0.8886871678300559,0.45132818932064306,0.4373589785094128,0.8886871678300559,0.11131283216994414,0.11131283216994414,0.10590043139748054,0.45132818932064306,0.8886871678300559,0.31398118591822616,0.32632009797741174
6,BoT-IoT,calibration,DoS,dos,1,DoS,1,0.8526835053296208,0.5127835568333482,0.3398999484962726,0.8526835053296208,0.14731649467037922,0.14731649467037922,0.13012552606468072,0.5127835568333482,0.8526835053296208,0.4040290309457384,0.37279308672691575
7,BoT-IoT,calibration,DDoS,ddos,1,DDoS,1,0.9771552149890332,0.8653536449623075,0.11180157002672575,0.9771552149890332,0.02284478501096676,0.02284478501096676,0.02069694663460838,0.9771552149890332,0.2574564068216542,0.173115986737046,0.8653536449623075
8,BoT-IoT,calibration,DDoS,ddos,1,DDoS,1,0.9360527689296062,0.38364418571090614,0.5524085832187,0.9360527689296062,0.0639472310703938,0.0639472310703938,0.04502573329012427,0.9360527689296062,0.38364418571090614,0.18525381659328513,0.06927067237700214
9,BoT-IoT,calibration,DDoS,ddos,1,DDoS,1,0.9286406509423809,0.5959034789561439,0.332737171986237,0.9286406509423809,0.07135934905761909,0.07135934905761909,0.061189076184006284,0.9286406509423809,0.18956981950047466,0.5959034789561439,0.5376189335844467
