sample_id,dataset,split,true_label_multiclass,true_label_family,y_known,pred_class,pred_correct,max_fidelity,runner_up_fidelity,margin,fid_true_class,nonconformity,nonconformity_true,trace_distance_nearest,fid__DDoS,fid__DoS,fid__Normal,fid__Reconnaissance
0,BoT-IoT,zeroday,Theft,theft_exfiltration,0,Normal,0,0.8891986921894678,0.5573375693430485,0.33186112284641933,,0.11080130781053221,,0.08514561177933046,0.37773116899356957,0.43635005873437355,0.8891986921894678,0.5573375693430485
1,BoT-IoT,zeroday,Theft,theft_exfiltration,0,Reconnaissance,0,0.9554698790255177,0.4486864004155035,0.5067834786100143,,0.04453012097448228,,0.03833492541785295,0.2661390002190652,0.4486864004155035,0.2747962607975018,0.9554698790255177
2,BoT-IoT,zeroday,Theft,theft_exfiltration,0,DoS,0,0.9637110869513914,0.7744165503448653,0.18929453660652606,,0.036288913048608595,,0.025611693773260107,0.2973464310017511,0.9637110869513914,0.7744165503448653,0.5837098164688977
3,BoT-IoT,zeroday,Theft,theft_exfiltration,0,Reconnaissance,0,0.8638244146099197,0.646510627602866,0.21731378700705362,,0.13617558539008034,,0.10527208776262555,0.2605559191496128,0.3005461855426751,0.646510627602866,0.8638244146099197
4,BoT-IoT,zeroday,Theft,theft_exfiltration,0,Normal,0,0.9009967124147199,0.47265864112085637,0.42833807129386353,,0.0990032875852801,,0.07591430680297409,0.2813007817246171,0.46337845440317876,0.9009967124147199,0.47265864112085637
5,BoT-IoT,zeroday,Theft,theft_exfiltration,0,DoS,0,0.7772029659350319,0.5394835560457171,0.23771940988931484,,0.2227970340649681,,0.15006599038237453,0.5394835560457171,0.7772029659350319,0.2583391699747022,0.443210798599348
6,BoT-IoT,zeroday,Theft,theft_exfiltration,0,DoS,0,0.9651747876651857,0.4867178427160231,0.47845694494916263,,0.03482521233481428,,0.02986014483080256,0.4867178427160231,0.9651747876651857,0.12476693065888068,0.1304322996271932
7,BoT-IoT,zeroday,Theft,theft_exfiltration,0,DDoS,0,0.9629689187706322,0.39976283435882376,0.5632060844118084,,0.037031081229367824,,0.03417747647930253,0.9629689187706322,0.19724503635023702,0.39976283435882376,0.35934210833346664
8,BoT-IoT,zeroday,Theft,theft_exfiltration,0,DoS,0,0.8322426144741052,0.4969855941091876,0.3352570203649176,,0.1677573855258948,,0.14890980077760085,0.17281539576375063,0.8322426144741052,0.4969855941091876,0.4149872822191447
9,BoT-IoT,zeroday,Theft,theft_exfiltration,0,DDoS,0,0.6833338181035623,0.3294107497819875,0.35392306832157483,,0.3166661818964377,,0.2644882372265905,0.6833338181035623,0.20486378877259515,0.3294107497819875,0.21512004557807057
