sample_id,dataset,split,true_label_multiclass,true_label_family,y_known,pred_class,pred_correct,max_fidelity,runner_up_fidelity,margin,fid_true_class,nonconformity,nonconformity_true,trace_distance_nearest,fid__Backdoor_Malware,fid__BenignTraffic,fid__BrowserHijacking,fid__CommandInjection,fid__DDoS-ACK_Fragmentation,fid__DDoS-HTTP_Flood,fid__DDoS-ICMP_Flood,fid__DDoS-ICMP_Fragmentation,fid__DDoS-PSHACK_Flood,fid__DDoS-RSTFINFlood,fid__DDoS-SYN_Flood,fid__DDoS-SlowLoris,fid__DDoS-SynonymousIP_Flood,fid__DDoS-TCP_Flood,fid__DDoS-UDP_Flood,fid__DDoS-UDP_Fragmentation,fid__DNS_Spoofing,fid__DictionaryBruteForce,fid__DoS-HTTP_Flood,fid__DoS-SYN_Flood,fid__DoS-TCP_Flood,fid__DoS-UDP_Flood,fid__MITM-ArpSpoofing,fid__Recon-HostDiscovery,fid__Recon-OSScan,fid__Recon-PingSweep,fid__Recon-PortScan,fid__SqlInjection,fid__Uploading_Attack,fid__VulnerabilityScan,fid__XSS
0,CICIoT2023,zeroday,Mirai-udpplain,botnet_mirai,0,MITM-ArpSpoofing,0,0.3535279484149939,0.2863714881953276,0.06715646021966631,,0.6464720515850061,,0.43470420773990914,0.2863714881953276,0.2373965910151555,0.26610907248459253,0.08140170746960604,0.12742519590344195,0.065361323398153,0.17463040504340016,0.10034398631616348,0.21608120535210934,0.2813850299140539,0.12704909946164436,0.14674023759987123,0.10205289769641149,0.16125121123161265,0.10452916845495891,0.18696534697340678,0.10893259186352133,0.10854296472370313,0.22005873226756165,0.11602305584216756,0.12481817905835003,0.1541846512469255,0.3535279484149939,0.23283631317251963,0.09770204432417749,0.18621605943530295,0.199962529209386,0.08848428180656502,0.13417783763716198,0.045286177017302996,0.13120113807799313
1,CICIoT2023,zeroday,Mirai-udpplain,botnet_mirai,0,CommandInjection,0,0.3343815702704739,0.31125756165792295,0.023124008612550928,,0.6656184297295261,,0.6128725510484245,0.18878421840339243,0.06492744072152896,0.16679238912834157,0.3343815702704739,0.22787296956819236,0.16263451780412425,0.12976977047718657,0.187814273197132,0.13936448230505227,0.1594001421673864,0.16634077382684775,0.23360032874777562,0.1965112649162534,0.23527148398617284,0.15958948432515283,0.31125756165792295,0.23242648993924164,0.12292022730651175,0.12717930682794143,0.20324699932853865,0.031776888363367665,0.06308730484852766,0.07154471428683266,0.14572264697078038,0.12949101545565603,0.04878583065815599,0.21067274488794557,0.15320432251066304,0.1304197820926102,0.10970842523026578,0.09830880294954254
2,CICIoT2023,zeroday,Mirai-greeth_flood,botnet_mirai,0,Recon-OSScan,0,0.20771950159214755,0.16469139407803118,0.04302810751411637,,0.7922804984078524,,0.570971494403205,0.12396315796152188,0.030597811373199665,0.11420895494787496,0.04225397864663283,0.10088643451930172,0.02811924247784786,0.09458335251857297,0.03710136032924947,0.1317377353540743,0.0757636961829924,0.10355784272868039,0.11101261200938402,0.10258802356701233,0.10391856223930773,0.1278119458548212,0.13682450449137457,0.08370365151764553,0.017904910657892112,0.16469139407803118,0.16396378549939802,0.08090586340424549,0.13137745799132744,0.0535818193511565,0.044246887241800426,0.20771950159214755,0.06597979288671604,0.12175160219923944,0.04590502856488186,0.1028392332596567,0.03255031056810676,0.1207359349238407
3,CICIoT2023,zeroday,Mirai-greeth_flood,botnet_mirai,0,Uploading_Attack,0,0.11327321151709736,0.10062898596818573,0.012644225548911633,,0.8867267884829027,,0.5661124787442473,0.02255796812215075,0.03644077094394054,0.04842878447051297,0.07375183590462595,0.060841243779138104,0.0462412434354879,0.06756468042386062,0.050379725581678456,0.06669613116854795,0.041495139046186576,0.014538636820797007,0.04465108965615858,0.04278001978684804,0.05366678305495863,0.03128974388568238,0.09522890971615616,0.03022603548006911,0.06020500807208497,0.04047232753275337,0.07524855470085408,0.06924996505328547,0.02671535936263578,0.07230437983423257,0.024770728601775593,0.10062898596818573,0.07668819089516779,0.037721944942518175,0.0636629021468169,0.11327321151709736,0.06347299827740263,0.03660845685540944
4,CICIoT2023,zeroday,Mirai-greip_flood,botnet_mirai,0,DictionaryBruteForce,0,0.12184147241272793,0.10680535006715239,0.01503612234557554,,0.8781585275872721,,0.843540788564347,0.056181088780967996,0.0703798891441278,0.09230512140556674,0.06995884446295468,0.03673980818564092,0.05451140813306929,0.06609789313955217,0.0428015529219176,0.09057330476066186,0.04641748830787879,0.08069095706529335,0.03255036992336351,0.03174856234121978,0.09236860156028953,0.044936158329888676,0.07375266302418534,0.07185991383916318,0.12184147241272793,0.07118034356279893,0.035571557296465835,0.032526244171338044,0.0837340321093492,0.10680535006715239,0.04996482892064366,0.04386428469565146,0.06457240337830951,0.038710229365527565,0.06025750687694889,0.041224790419090884,0.08542030781075413,0.031981488582877214
5,CICIoT2023,zeroday,Mirai-greeth_flood,botnet_mirai,0,CommandInjection,0,0.3311261211994677,0.24300687761730086,0.08811924358216686,,0.6688738788005323,,0.4557365545601784,0.05421446327952953,0.10452215205169835,0.18285602946147453,0.3311261211994677,0.09743211497948227,0.05344852075705529,0.10485254499618699,0.07628494701898109,0.14716606967115023,0.10999522973919551,0.10449230882851875,0.044950194753803456,0.09010159447788332,0.11353964931880774,0.048914780122829016,0.07559448300351643,0.203168688887532,0.07333957291541458,0.11814310015203687,0.11856564194494049,0.07392498052859779,0.08420830765006719,0.1784075103970459,0.24211466433421186,0.13452514181724853,0.2299713860235114,0.21418500626743397,0.1117447395189496,0.24300687761730086,0.2038014710157498,0.09715289028285613
6,CICIoT2023,zeroday,Mirai-greeth_flood,botnet_mirai,0,DoS-SYN_Flood,0,0.08549540404363977,0.06799669839100832,0.017498705652631452,,0.9145045959563602,,0.6741403598853057,0.057577462525706495,0.025416094690040456,0.041901259345143126,0.011221185433408363,0.06578228153947396,0.030656916239392935,0.05598014259847181,0.06248994752773171,0.060220106364864905,0.05260655579467824,0.029251437634365003,0.03421687695587432,0.03361407741820247,0.03524666549111081,0.06799669839100832,0.04364772613058569,0.06652360854424111,0.027361158786512133,0.026810288165715193,0.08549540404363977,0.013430511712557281,0.017874495340981227,0.054325172431005535,0.025526092057628954,0.01625292788649333,0.039770526009687966,0.04331896115075522,0.05599356826845726,0.0567013392337266,0.04770893737484109,0.0332600844828369
7,CICIoT2023,zeroday,Mirai-udpplain,botnet_mirai,0,DDoS-TCP_Flood,0,0.4026189908970755,0.30905847834336836,0.09356051255370712,,0.5973810091029246,,0.5005371022913089,0.07220970644626001,0.25519774111207116,0.14699634973649095,0.14409639592898144,0.13547699077876113,0.11223515938534526,0.24958547887203253,0.1431254296731108,0.234101449840431,0.15178965923836402,0.2336036042998602,0.1544969345986418,0.26553085233453283,0.4026189908970755,0.14938215645407524,0.05332433479029385,0.07233026059280166,0.14326214980339946,0.07601552353771397,0.20087498604463888,0.30905847834336836,0.14736809985238708,0.24023553550251744,0.07773797361267355,0.1918637188236563,0.13582847709062174,0.18013158255412454,0.28689127141959736,0.2001978580799239,0.016922082440296672,0.1794121661617603
8,CICIoT2023,zeroday,Mirai-udpplain,botnet_mirai,0,SqlInjection,0,0.18997405416885776,0.159590296180041,0.030383757988816762,,0.8100259458311423,,0.7873583331739732,0.14657556522007337,0.08413390255575377,0.06870586875366877,0.021122005323396982,0.159590296180041,0.15049075930949155,0.026505499139885837,0.0831399201294903,0.08610131872099272,0.10828522919457276,0.04657633781864711,0.03293869370109612,0.09131150063683646,0.10119690749639976,0.14739450945464438,0.03148610683109665,0.06668320422177536,0.10285813887658911,0.053694272959633506,0.0720132674993188,0.062119503026386566,0.0673740988821412,0.05497229068624487,0.05444523869421948,0.05485017120714936,0.04202416941719763,0.02791893221269378,0.18997405416885776,0.07751673700835712,0.07433546312071701,0.10612998287138833
9,CICIoT2023,zeroday,Mirai-udpplain,botnet_mirai,0,DoS-SYN_Flood,0,0.29914175268069937,0.24218554536952638,0.056956207311172985,,0.7008582473193006,,0.4477293587192937,0.24218554536952638,0.07437684438770058,0.12851944391692968,0.12198428026672327,0.0811544040752633,0.11734553173700829,0.07634129635635738,0.1492486575813315,0.22436202122628326,0.12119502091902672,0.17225800640010988,0.0917884908783149,0.2321565040462118,0.134847027617003,0.19523769802873414,0.19117113952161582,0.13637591796392343,0.14959960496516977,0.03296668908734556,0.29914175268069937,0.12285279098452799,0.15207227530882506,0.20007210760329316,0.10256539008422853,0.13104538414780706,0.06567529857049026,0.13992032673518712,0.18191821623789767,0.13056548116519326,0.12893556816884794,0.12126165784819898
