sample_id,dataset,split,true_label_multiclass,true_label_family,y_known,pred_class,pred_correct,max_fidelity,runner_up_fidelity,margin,fid_true_class,nonconformity,nonconformity_true,trace_distance_nearest,fid__Analysis,fid__Backdoor,fid__DoS,fid__Exploits,fid__Fuzzers,fid__Generic,fid__Normal,fid__Reconnaissance
0,UNSW-NB15,calibration,Normal,benign,1,Normal,1,0.7307330611833595,0.5831734539799638,0.14755960720339567,0.7307330611833595,0.26926693881664054,0.26926693881664054,0.21793282999701225,0.317178799462743,0.10372578937171016,0.41803483576414113,0.5831734539799638,0.38202881733195104,0.13637178228347682,0.7307330611833595,0.49896898341358875
1,UNSW-NB15,calibration,Normal,benign,1,Analysis,0,0.9806272925233395,0.8696697648334496,0.11095752768988987,0.8696697648334496,0.019372707476660533,0.1303302351665504,0.0147028699249271,0.9806272925233395,0.29845239695761827,0.32237503789728006,0.5211547207327815,0.4538000619732375,0.4517252886424292,0.8696697648334496,0.5741193467009139
2,UNSW-NB15,calibration,Fuzzers,fuzzers,1,Fuzzers,1,0.869726202449386,0.6005933879919148,0.2691328144574713,0.869726202449386,0.13027379755061397,0.13027379755061397,0.11192611187949207,0.47692540163430996,0.12909272309144582,0.08148389800654329,0.6005933879919148,0.869726202449386,0.25197466273521824,0.4979246607788153,0.4437859033546181
3,UNSW-NB15,calibration,DoS,dos,1,DoS,1,0.5930043324371721,0.4059741944498284,0.1870301379873437,0.5930043324371721,0.4069956675628279,0.4069956675628279,0.3668609779720611,0.19167591470504006,0.4059741944498284,0.5930043324371721,0.14289703244132856,0.13460725122011624,0.23679602115115927,0.24645088542765162,0.29669345208169495
4,UNSW-NB15,calibration,Normal,benign,1,Normal,1,0.8119562557081001,0.5986439702228675,0.21331228548523262,0.8119562557081001,0.18804374429189985,0.18804374429189985,0.11789534490847704,0.3738328921872819,0.4067651012909908,0.1097494674756718,0.46352679692213716,0.5986439702228675,0.20742657682827137,0.8119562557081001,0.35499352510965215
5,UNSW-NB15,calibration,Fuzzers,fuzzers,1,Fuzzers,1,0.6773056386718708,0.5086918434899029,0.16861379518196784,0.6773056386718708,0.32269436132812923,0.32269436132812923,0.2229116812187761,0.30546924380064644,0.5086918434899029,0.2080662484797457,0.4533927685753192,0.6773056386718708,0.2513797081800544,0.2757372509259723,0.190499265062236
6,UNSW-NB15,calibration,Normal,benign,1,Normal,1,0.7926449679127695,0.38613126807997517,0.40651369983279434,0.7926449679127695,0.2073550320872305,0.2073550320872305,0.16926220626474095,0.07496198220006083,0.15562301022004044,0.38613126807997517,0.32486518189242375,0.20852613287638574,0.23081522103909655,0.7926449679127695,0.12368453355515845
7,UNSW-NB15,calibration,Generic,generic,1,Generic,1,0.8510045756004337,0.7117677806751114,0.13923679492532237,0.8510045756004337,0.14899542439956626,0.14899542439956626,0.11793406273817512,0.4911260142880814,0.31012572684525785,0.46686041792572797,0.5879944932717999,0.7117677806751114,0.8510045756004337,0.59087787415911,0.060602183278253945
8,UNSW-NB15,calibration,Normal,benign,1,Normal,1,0.8211504788674104,0.5983146013358747,0.22283587753153578,0.8211504788674104,0.17884952113258956,0.17884952113258956,0.1192118669428871,0.5767976930039701,0.14206366816730634,0.3122382330288418,0.36428047793142804,0.5983146013358747,0.5402717760548014,0.8211504788674104,0.5424201505961687
9,UNSW-NB15,calibration,Normal,benign,1,Normal,1,0.7647270229480532,0.576685330510054,0.18804169243799917,0.7647270229480532,0.23527297705194683,0.23527297705194683,0.17251037930534346,0.35966199532452003,0.40047152954933923,0.576685330510054,0.2720635910507344,0.23264810155339816,0.30660827652798794,0.7647270229480532,0.5080223460756279
