sample_id,dataset,split,true_label_multiclass,true_label_family,y_known,pred_class,pred_correct,max_fidelity,runner_up_fidelity,margin,fid_true_class,nonconformity,nonconformity_true,trace_distance_nearest,fid__Analysis,fid__Backdoor,fid__DoS,fid__Exploits,fid__Fuzzers,fid__Generic,fid__Normal,fid__Reconnaissance
0,UNSW-NB15,zeroday,Shellcode,shellcode,0,Reconnaissance,0,0.8156996421722933,0.4587589689567577,0.3569406732155356,,0.1843003578277067,,0.1357509730246364,0.18098466501687188,0.4587589689567577,0.15553768203004303,0.18103158732550975,0.3249531438025974,0.3459142417489534,0.15356211815894422,0.8156996421722933
1,UNSW-NB15,zeroday,Shellcode,shellcode,0,Backdoor,0,0.6123691960088513,0.44281155341805056,0.16955764259080075,,0.3876308039911487,,0.25278021518871774,0.28029249932089123,0.6123691960088513,0.44281155341805056,0.41965959137007475,0.31816972897154283,0.3066008853665336,0.19306552039723507,0.43047538233300375
2,UNSW-NB15,zeroday,Shellcode,shellcode,0,Analysis,0,0.7432085879446514,0.5322878061819549,0.21092078176269646,,0.2567914120553486,,0.23667773712408147,0.7432085879446514,0.08100518767783355,0.5322878061819549,0.14656088674664802,0.05970382344775273,0.14502623521484048,0.20654948460016676,0.4199819456863576
3,UNSW-NB15,zeroday,Shellcode,shellcode,0,Normal,0,0.8117369658371979,0.6030898560966016,0.2086471097405963,,0.1882630341628021,,0.1344127378072734,0.40518239787500193,0.2860993951963107,0.3112236488252596,0.36745446135696536,0.6030898560966016,0.214761253993151,0.8117369658371979,0.5190709289104828
4,UNSW-NB15,zeroday,Shellcode,shellcode,0,Generic,0,0.5906599481683589,0.5357955268755651,0.054864421292793786,,0.4093400518316411,,0.27586710141269566,0.5357955268755651,0.5011740338299453,0.2795084208780412,0.2999074777686961,0.25397257128421796,0.5906599481683589,0.4677090157367401,0.23386570664991907
5,UNSW-NB15,zeroday,Shellcode,shellcode,0,Normal,0,0.7502246818053775,0.4655965621584394,0.28462811964693807,,0.2497753181946225,,0.19561569019290898,0.21503337520042576,0.4655965621584394,0.2213604326892532,0.33201082949501215,0.21089297356633263,0.10900541806910925,0.7502246818053775,0.31565994026212063
6,UNSW-NB15,zeroday,Shellcode,shellcode,0,DoS,0,0.8224431907653534,0.6848109223983282,0.13763226836702525,,0.17755680923464656,,0.14108804794131474,0.2080992096153729,0.4348379717775994,0.8224431907653534,0.4455732780448748,0.6848109223983282,0.15060126140473748,0.36844443683280415,0.31893598101374204
7,UNSW-NB15,zeroday,Shellcode,shellcode,0,Analysis,0,0.6980280803433558,0.4312647209461021,0.26676335939725376,,0.30197191965664416,,0.19911651474246955,0.6980280803433558,0.31244142134643615,0.4312647209461021,0.21365099874916038,0.4010216307759087,0.20509976646131425,0.3699921099124126,0.13526383528460087
8,UNSW-NB15,zeroday,Shellcode,shellcode,0,Reconnaissance,0,0.5676076092996869,0.4067459790727797,0.1608616302269072,,0.4323923907003131,,0.28941147578022175,0.4067459790727797,0.2008554558318295,0.2710166896459671,0.25198505893933076,0.3039520266848843,0.34335073930172194,0.2886792222984366,0.5676076092996869
9,UNSW-NB15,zeroday,Shellcode,shellcode,0,Exploits,0,0.6357074450729413,0.5321659582620384,0.10354148681090292,,0.3642925549270587,,0.32326421200532873,0.19605945019641163,0.13535658657401045,0.12455796540607826,0.6357074450729413,0.09976714844620405,0.5321659582620384,0.41529578237951315,0.3584753119300476
