dataset,group,head,metric,mean,std,ci95_low,ci95_high,n
CICIoT2023,detector,,accuracy,0.9895567441614149,0.0002098354367013657,0.9892961990541155,0.9898172892687144,5
CICIoT2023,detector,,balanced_accuracy,0.8001015263187664,0.00365684202516948,0.7955609572289949,0.8046420954085379,5
CICIoT2023,detector,,f1_macro,0.8045496079720991,0.006248043997907446,0.7967916366807043,0.8123075792634938,5
CICIoT2023,detector,,auroc_ovr_macro,0.9990117052150383,1.077396014842812e-05,0.998998327576604,0.9990250828534727,5
CICIoT2023,detector,,auprc_ovr_macro,0.8309858201242962,0.0034105402246488027,0.826751075112924,0.8352205651356684,5
CICIoT2023,detector,,binary_accuracy,0.9951596674257269,8.861515930033325e-05,0.9950496371727287,0.9952696976787252,5
CICIoT2023,detector,,binary_f1_macro,0.9475383663139526,0.0009739101713630209,0.9463290971166867,0.9487476355112185,5
CICIoT2023,detector,,binary_auroc,0.9992569427574315,2.0012274730463467e-05,0.9992320942363765,0.9992817912784865,5
CICIoT2023,novelty_head,isolation_forest,zero_day_auroc,0.995152860646572,0.0009694224787710184,0.9939491636556326,0.9963565576375115,5
CICIoT2023,novelty_head,isolation_forest,zero_day_auprc,0.9774949206581629,0.0042682066599365655,0.9721952421116261,0.9827945992046997,5
CICIoT2023,novelty_head,isolation_forest,fpr_at_95_tpr,0.009733622835354552,0.0019602929970970033,0.007299597594928242,0.012167648075780862,5
CICIoT2023,novelty_head,isolation_forest,known_false_positive_rate,0.10189058941905418,0.0005010032285236559,0.1012685117472125,0.10251266709089586,5
CICIoT2023,novelty_head,isolation_forest,zero_day_true_positive_rate,0.9998725418790968,4.9865491397091635e-05,0.9998106256936763,0.9999344580645173,5
CICIoT2023,novelty_head,isolation_forest,balanced_accuracy,0.9489909762300215,0.0002444518143319056,0.94868744921287,0.949294503247173,5
CICIoT2023,novelty_head,autoencoder,zero_day_auroc,0.9341011622572996,0.029997807585156366,0.896853964553767,0.9713483599608321,5
CICIoT2023,novelty_head,autoencoder,zero_day_auprc,0.802835299042659,0.0930120534541444,0.6873455808696437,0.9183250172156744,5
CICIoT2023,novelty_head,autoencoder,fpr_at_95_tpr,0.14836625536196577,0.06589420291846806,0.06654779590777042,0.2301847148161611,5
CICIoT2023,novelty_head,autoencoder,known_false_positive_rate,0.1009479425938675,0.0018623495024900469,0.0986355302645529,0.10326035492318208,5
CICIoT2023,novelty_head,autoencoder,zero_day_true_positive_rate,0.7974872541879098,0.16855198247677966,0.5882023257206204,1.0067721826551992,5
CICIoT2023,novelty_head,autoencoder,balanced_accuracy,0.848269655797021,0.0845863699051379,0.7432418055470646,0.9532975060469773,5
CICIoT2023,novelty_head,ocsvm,zero_day_auroc,0.940374143935907,0.00889924859683157,0.9293242673421559,0.9514240205296581,5
CICIoT2023,novelty_head,ocsvm,zero_day_auprc,0.9143269724586706,0.010392346741219652,0.9014231696532479,0.9272307752640933,5
CICIoT2023,novelty_head,ocsvm,fpr_at_95_tpr,0.3256368161838691,0.061179182888857375,0.24967282735125096,0.4016008050164872,5
CICIoT2023,novelty_head,ocsvm,known_false_positive_rate,0.09850129746332681,0.0005093307223871041,0.09786887984215963,0.09913371508449399,5
CICIoT2023,novelty_head,ocsvm,zero_day_true_positive_rate,0.8725600873998542,0.017082042563450445,0.8513499301330334,0.8937702446666751,5
CICIoT2023,novelty_head,ocsvm,balanced_accuracy,0.8870293949682637,0.008744448610695581,0.87617172794422,0.8978870619923074,5
CICIoT2023,per_attack_zero_day,isolation_forest,zero_day_auroc[Mirai-greeth_flood],0.9948946719659795,0.0013728454988670025,0.9931900591349402,0.9965992847970188,5
CICIoT2023,per_attack_zero_day,isolation_forest,zero_day_auroc[Mirai-greip_flood],0.9945756424853938,0.001220914549773897,0.9930596768440564,0.9960916081267311,5
CICIoT2023,per_attack_zero_day,isolation_forest,zero_day_auroc[Mirai-udpplain],0.9959296916259321,0.0008252462109565844,0.9949050131161333,0.996954370135731,5
CICIoT2023,per_attack_zero_day,autoencoder,zero_day_auroc[Mirai-greeth_flood],0.9406827429198742,0.02607438757601108,0.9083071145915297,0.9730583712482187,5
CICIoT2023,per_attack_zero_day,autoencoder,zero_day_auroc[Mirai-greip_flood],0.9321723760201241,0.027234982381571803,0.8983556789052125,0.9659890731350358,5
CICIoT2023,per_attack_zero_day,autoencoder,zero_day_auroc[Mirai-udpplain],0.9283728151989077,0.03864009151408139,0.880394804678574,0.9763508257192414,5
CICIoT2023,per_attack_zero_day,ocsvm,zero_day_auroc[Mirai-greeth_flood],0.9709922532514282,0.0024707405937779256,0.9679244236072336,0.9740600828956228,5
CICIoT2023,per_attack_zero_day,ocsvm,zero_day_auroc[Mirai-greip_flood],0.9489553428814208,0.003542957441318387,0.9445561801793676,0.953354505583474,5
CICIoT2023,per_attack_zero_day,ocsvm,zero_day_auroc[Mirai-udpplain],0.8988806408331659,0.02151151329462459,0.8721705692283488,0.925590712437983,5
BoT-IoT,detector,,accuracy,0.9523748050131783,0.0009005520061001592,0.9512566220086935,0.953492988017663,5
BoT-IoT,detector,,balanced_accuracy,0.9735907226137372,0.0005122801618361914,0.9729546427797913,0.9742268024476832,5
BoT-IoT,detector,,f1_macro,0.9731742758039795,0.0004928689482263282,0.9725622981751343,0.9737862534328248,5
BoT-IoT,detector,,auroc_ovr_macro,0.9956257657066454,8.044009453835064e-05,0.995525886137245,0.9957256452760458,5
BoT-IoT,detector,,auprc_ovr_macro,0.9951309478225939,9.149198438016558e-05,0.9950173455194649,0.995244550125723,5
