sample_id,dataset,attack_class,origin,perturb,role,should_flag_novel,should_flag_adversarial,duration,n_pkts_total,n_bytes_total,src_pkts,dst_pkts,src_bytes,dst_bytes,rate,rate_src,rate_dst,pkt_size_min,pkt_size_max,pkt_size_mean,pkt_size_std,iat,protocol,conn_state,label_binary,label_family
BoT_adv_source_0,BoT-IoT,DDoS,known,clean,adv_source,False,False,-0.6600909463276423,-0.572439384410403,0.2389373166196673,-0.2248301433933957,0.0,0.4116576001912967,0.0,0.1756434664236364,0.2515946435393925,0.0,2.0449134846669668,0.1541656397755963,0.6164288884965844,0.0793637353869755,0.0,-1.0,-1.0,1,ddos
BoT_adv_source_1,BoT-IoT,DDoS,known,clean,adv_source,False,False,-0.2421186386951008,-0.2622561705324296,0.3730909115748955,-0.2248301433933957,0.6931471805599453,0.4116576001912967,4.110873864173311,0.0567692872925083,-0.1630987546650884,0.0,0.0,-0.0494444785583755,-0.2317965440536993,0.7153515571442877,0.0,-1.0,-1.3065713500137477,1,ddos
BoT_adv_source_2,BoT-IoT,DDoS,known,clean,adv_source,False,False,-0.3423725936088884,0.7689611737250349,0.2009558713324623,0.7474574155078949,0.0,0.3682204419693358,0.0,1.4394885673619706,1.5902530399727763,0.0,1.7401714213841322,0.0862728535939057,0.4191871658118059,0.1102967354246546,0.0,0.0,0.0,1,ddos
BoT_adv_source_3,BoT-IoT,DDoS,known,clean,adv_source,False,False,-0.5023026884907648,0.6068102004289732,0.952805353943138,0.3547556456757271,1.0986122886681096,1.0191795973367486,4.795790545596741,1.5079408013378022,1.0780379713425623,0.2521149966294221,1.931428695437816,-0.0885787947989623,0.434135712492053,-0.187648719790246,0.0,-1.0,-1.3065713500137477,1,ddos
BoT_adv_source_4,BoT-IoT,DDoS,known,clean,adv_source,False,False,-1.0739789393004102,0.2271766281849193,-0.3136178163556272,0.3547556456757271,0.0,-0.2202673978152947,0.0,2.115106044931554,2.3058636859721826,0.0,1.582631736843127,-0.0004906849055486,0.3917764426710639,0.0966829603886195,0.0,0.0,0.0,1,ddos
BoT_adv_source_5,BoT-IoT,DDoS,known,clean,adv_source,False,False,-0.7723230017420122,-0.952072956654456,-1.5338883780765302,-0.4999999999999999,0.0,-1.6158194907454704,0.0,-0.1311208503687325,-0.073328583282762,0.0,0.0,-0.86376692077995,-0.6096759255462858,-0.274325074151263,0.0,0.0,0.0,1,ddos
BoT_adv_source_6,BoT-IoT,DDoS,known,clean,adv_source,False,False,0.2173664186165286,0.427560615589597,0.7139117799021147,0.1900911776928238,1.0986122886681096,0.7054680722466665,4.795790545596741,0.2091646365038024,-0.0832648862788329,0.037216783549967,0.0,-0.7850108264650876,-0.5672625032936282,-0.1893237940632857,0.0,-1.0,-1.3065713500137477,1,ddos
BoT_adv_source_7,BoT-IoT,DDoS,known,clean,adv_source,False,False,0.0282345654132424,0.0,0.495845153733583,0.0,0.6931471805599453,0.5650812228589194,4.110873864173311,0.0279376407358526,-0.1295944571547274,0.0,0.0,-0.8130244333853563,-0.5920160439730122,-0.2176779934753478,0.0,-1.0,-1.3065713500137477,1,ddos
BoT_adv_source_8,BoT-IoT,DDoS,known,clean,adv_source,False,False,-0.0993045864327465,-0.2622561705324296,0.5610417602305166,0.0,0.0,0.7800296190895465,0.0,-0.0771342019623064,-0.0161461958755527,0.0,0.0,0.0133062854624732,0.1980824778667407,0.783540776353659,0.0,-1.0,-1.0,1,ddos
BoT_adv_source_9,BoT-IoT,DDoS,known,clean,adv_source,False,False,0.0450209629047373,-0.2622561705324296,-0.798644410998854,0.0,0.0,-0.7749639548858611,0.0,-0.1975203674036186,-0.1436586189270658,0.0,0.0,-0.86376692077995,-0.6096759255462858,-0.274325074151263,0.0,0.0,0.0,1,ddos
