dataset,source_kind,alpha,n_cal,k,q,m_test,false_flags,fzr_observed,fzr_expected,band_level,band_lo_rate,band_hi_rate,p_value_upper,expectation_ok,finite_sample_ok,conservative_note,verdict,known_coverage,zeroday_n,zeroday_rejection_rate
CICIoT2023,dummy,0.01,18883,18696,0.405322,18883,163,0.008632,0.009956,0.99,0.007467,0.01271,0.91033,True,True,False,PASS,0.991368,10984,0.99654
CICIoT2023,dummy,0.02,18883,18507,0.36315,18883,372,0.0197,0.019964,0.99,0.016417,0.023831,0.573243,True,True,False,PASS,0.9803,10984,0.998908
CICIoT2023,dummy,0.03,18883,18318,0.336761,18883,527,0.027909,0.029972,0.99,0.025579,0.034634,0.884478,True,True,False,PASS,0.972091,10984,0.999454
CICIoT2023,dummy,0.04,18883,18129,0.31613,18883,744,0.039401,0.039981,0.99,0.034952,0.045332,0.614094,True,True,False,PASS,0.960599,10984,0.999636
CICIoT2023,dummy,0.05,18883,17940,0.300551,18883,918,0.048615,0.049989,0.99,0.044326,0.055923,0.731747,True,True,False,PASS,0.951385,10984,0.999818
CICIoT2023,dummy,0.06,18883,17751,0.286608,18883,1106,0.058571,0.059998,0.99,0.053858,0.066409,0.721876,True,True,False,PASS,0.941429,10984,0.999818
CICIoT2023,dummy,0.07,18883,17563,0.274178,18883,1292,0.068421,0.069953,0.99,0.063337,0.076842,0.721774,True,True,False,PASS,0.931579,10984,0.999818
CICIoT2023,dummy,0.08,18883,17374,0.263611,18883,1474,0.07806,0.079962,0.99,0.072923,0.087274,0.753899,True,True,False,PASS,0.92194,10984,0.999818
CICIoT2023,dummy,0.09,18883,17185,0.254433,18883,1673,0.088598,0.08997,0.99,0.082508,0.097654,0.680549,True,True,False,PASS,0.911402,10984,0.999909
CICIoT2023,dummy,0.1,18883,16996,0.245106,18883,1879,0.099507,0.099979,0.99,0.092146,0.108034,0.561417,True,True,False,PASS,0.900493,10984,0.999909
