dataset,system,source_kind,n_cal,q,coverage,false_zeroday_rate,zeroday_recall,n_zeroday
CICIoT2023,quantum_cqzdr,dummy,18883,0.300551,0.9514,0.0486,0.9998,10984
CICIoT2023,classical_isolation_forest,real,18883,0.513429,0.9517,0.0483,0.9978,10984
CICIoT2023,classical_autoencoder,real,18883,0.534323,0.9525,0.0475,0.4994,10984
BoT-IoT,quantum_cqzdr,dummy,18591,0.262934,0.947,0.053,0.0952,683
BoT-IoT,classical_isolation_forest,real,18591,0.49003,0.9542,0.0458,0.7233,683
BoT-IoT,classical_ocsvm,real,18591,-0.774626,0.9522,0.0478,0.7218,683
BoT-IoT,classical_autoencoder,real,18591,0.099035,0.9499,0.0501,0.5417,683
UNSW-NB15,quantum_cqzdr,dummy,10112,0.38338,0.9537,0.0463,0.3857,1216
UNSW-NB15,classical_isolation_forest,real,10112,0.558992,0.9495,0.0505,0.0,1216
UNSW-NB15,classical_ocsvm,real,10112,5.783827,0.9487,0.0513,0.0033,1216
UNSW-NB15,classical_autoencoder,real,10112,1.710545,0.9481,0.0519,0.2656,1216
