dataset,alpha,conformal_fzr,heuristic_fzr,fixed_fzr,band_lo_rate,band_hi_rate,conformal_in_band,heuristic_in_band
CICIoT2023,0.01,0.008632,0.008685,0.001271,0.007467,0.01271,True,True
CICIoT2023,0.02,0.0197,0.019806,0.001271,0.016417,0.023831,True,True
CICIoT2023,0.03,0.027909,0.027962,0.001271,0.025579,0.034634,True,True
CICIoT2023,0.04,0.039401,0.039559,0.001271,0.034952,0.045332,True,True
CICIoT2023,0.05,0.048615,0.048721,0.001271,0.044326,0.055923,True,True
CICIoT2023,0.06,0.058571,0.058571,0.001271,0.053858,0.066409,True,True
CICIoT2023,0.07,0.068421,0.06858,0.001271,0.063337,0.076842,True,True
CICIoT2023,0.08,0.07806,0.078166,0.001271,0.072923,0.087274,True,True
CICIoT2023,0.09,0.088598,0.088598,0.001271,0.082508,0.097654,True,True
CICIoT2023,0.1,0.099507,0.099666,0.001271,0.092146,0.108034,True,True
CICIoT2023,0.11,0.110523,0.110523,0.001271,0.101785,0.118413,True,True
CICIoT2023,0.12,0.120638,0.120691,0.001271,0.111476,0.12874,True,True
CICIoT2023,0.13,0.131494,0.131494,0.001271,0.121167,0.138961,True,True
CICIoT2023,0.14,0.142138,0.142138,0.001271,0.130858,0.149288,True,True
CICIoT2023,0.15,0.151777,0.151883,0.001271,0.140603,0.159562,True,True
CICIoT2023,0.16,0.162633,0.162845,0.001271,0.150347,0.169782,True,True
CICIoT2023,0.17,0.171742,0.171742,0.001271,0.160144,0.180056,True,True
CICIoT2023,0.18,0.183869,0.183975,0.001271,0.169888,0.190277,True,True
CICIoT2023,0.19,0.193401,0.193719,0.001271,0.179632,0.200445,True,True
CICIoT2023,0.2,0.203252,0.203358,0.001271,0.18943,0.210666,True,True
BoT-IoT,0.01,0.010758,0.010865,0.000861,0.007423,0.012748,True,True
BoT-IoT,0.02,0.02044,0.020763,0.000861,0.016352,0.023829,True,True
BoT-IoT,0.03,0.031467,0.031467,0.000861,0.02555,0.03464,True,True
BoT-IoT,0.04,0.042655,0.04287,0.000861,0.034856,0.045345,True,True
BoT-IoT,0.05,0.053036,0.053144,0.000861,0.044269,0.055941,True,True
BoT-IoT,0.06,0.062719,0.062772,0.000861,0.053789,0.06643,True,True
BoT-IoT,0.07,0.073476,0.073584,0.000861,0.06331,0.076919,True,True
BoT-IoT,0.08,0.084449,0.084449,0.000861,0.072885,0.087354,True,True
BoT-IoT,0.09,0.094024,0.094132,0.000861,0.082459,0.097735,True,True
BoT-IoT,0.1,0.102792,0.103007,0.000861,0.092088,0.108117,True,True
BoT-IoT,0.11,0.114249,0.114249,0.000861,0.10177,0.118444,True,True
BoT-IoT,0.12,0.123931,0.123931,0.000861,0.111452,0.128772,True,True
BoT-IoT,0.13,0.132699,0.132752,0.000861,0.12108,0.139046,True,True
BoT-IoT,0.14,0.143672,0.143672,0.000861,0.130816,0.14932,True,True
BoT-IoT,0.15,0.153569,0.153623,0.000861,0.140552,0.159593,True,True
BoT-IoT,0.16,0.164596,0.164703,0.000861,0.150288,0.169867,True,True
BoT-IoT,0.17,0.173686,0.173955,0.000861,0.160024,0.180087,True,True
BoT-IoT,0.18,0.184821,0.184874,0.000861,0.169813,0.190307,True,True
BoT-IoT,0.19,0.194987,0.195041,0.000861,0.179603,0.200527,True,True
BoT-IoT,0.2,0.204884,0.204938,0.000861,0.189393,0.210747,True,True
UNSW-NB15,0.01,0.009716,0.009716,0.007535,0.006643,0.013881,True,True
UNSW-NB15,0.02,0.021019,0.021317,0.007535,0.01517,0.025283,True,True
UNSW-NB15,0.03,0.029546,0.029843,0.007535,0.024093,0.036387,True,True
UNSW-NB15,0.04,0.038172,0.038172,0.007535,0.033115,0.047293,True,True
UNSW-NB15,0.05,0.046302,0.0465,0.007535,0.042336,0.0581,True,True
UNSW-NB15,0.06,0.053738,0.053936,0.007535,0.051557,0.068808,True,True
UNSW-NB15,0.07,0.064842,0.065041,0.007535,0.060876,0.079417,True,True
UNSW-NB15,0.08,0.075352,0.075451,0.007535,0.070395,0.090026,True,True
UNSW-NB15,0.09,0.084176,0.084474,0.007535,0.079814,0.100535,True,True
UNSW-NB15,0.1,0.096768,0.097065,0.007535,0.089332,0.111045,True,True
UNSW-NB15,0.11,0.105294,0.105294,0.007535,0.09885,0.121555,True,True
UNSW-NB15,0.12,0.116399,0.116399,0.007535,0.108368,0.131965,True,True
UNSW-NB15,0.13,0.127305,0.127404,0.007535,0.117985,0.142276,True,True
UNSW-NB15,0.14,0.138311,0.13841,0.007535,0.127503,0.152687,True,True
UNSW-NB15,0.15,0.147531,0.147829,0.007535,0.137121,0.162998,True,True
UNSW-NB15,0.16,0.159627,0.159627,0.007535,0.146936,0.173508,True,True
UNSW-NB15,0.17,0.167162,0.167162,0.007535,0.156554,0.183819,True,True
UNSW-NB15,0.18,0.175292,0.175292,0.007535,0.16627,0.194031,True,True
UNSW-NB15,0.19,0.184711,0.185108,0.007535,0.175887,0.204343,True,True
UNSW-NB15,0.2,0.195122,0.195221,0.007535,0.185604,0.214555,True,True
