dataset,split,sample_id,true_label_multiclass,y_known,nonconformity_s,threshold_q,decision
BoT-IoT,test,0,DoS,1,0.112233,0.262934,KNOWN
BoT-IoT,test,1,DoS,1,0.108908,0.262934,KNOWN
BoT-IoT,test,2,DoS,1,0.041894,0.262934,KNOWN
BoT-IoT,test,3,DoS,1,0.22739,0.262934,KNOWN
BoT-IoT,test,4,DDoS,1,0.008724,0.262934,KNOWN
BoT-IoT,test,5,DDoS,1,0.062539,0.262934,KNOWN
BoT-IoT,test,6,DDoS,1,0.095109,0.262934,KNOWN
BoT-IoT,test,7,DoS,1,0.135903,0.262934,KNOWN
BoT-IoT,test,8,DDoS,1,0.004886,0.262934,KNOWN
BoT-IoT,test,9,DoS,1,0.177749,0.262934,KNOWN
BoT-IoT,test,10,DoS,1,0.076981,0.262934,KNOWN
BoT-IoT,test,11,DoS,1,0.039033,0.262934,KNOWN
BoT-IoT,test,12,DDoS,1,0.105868,0.262934,KNOWN
BoT-IoT,test,13,DDoS,1,0.03864,0.262934,KNOWN
BoT-IoT,test,14,DDoS,1,0.064541,0.262934,KNOWN
BoT-IoT,test,15,DDoS,1,0.167874,0.262934,KNOWN
BoT-IoT,test,16,DoS,1,0.005757,0.262934,KNOWN
BoT-IoT,test,17,DDoS,1,0.27029,0.262934,ZERO_DAY
BoT-IoT,test,18,DDoS,1,0.147176,0.262934,KNOWN
BoT-IoT,test,19,DDoS,1,0.084088,0.262934,KNOWN
BoT-IoT,test,20,DoS,1,0.323972,0.262934,ZERO_DAY
BoT-IoT,test,21,DoS,1,0.149953,0.262934,KNOWN
BoT-IoT,test,22,DoS,1,0.113186,0.262934,KNOWN
BoT-IoT,test,23,DoS,1,0.115579,0.262934,KNOWN
BoT-IoT,test,24,DoS,1,0.25868,0.262934,KNOWN
BoT-IoT,test,25,Normal,1,0.026755,0.262934,KNOWN
BoT-IoT,test,26,DDoS,1,0.012648,0.262934,KNOWN
BoT-IoT,test,27,DDoS,1,0.050363,0.262934,KNOWN
BoT-IoT,test,28,DDoS,1,0.037012,0.262934,KNOWN
BoT-IoT,test,29,DoS,1,0.107386,0.262934,KNOWN
BoT-IoT,test,30,DDoS,1,0.102037,0.262934,KNOWN
BoT-IoT,test,31,DoS,1,0.050408,0.262934,KNOWN
BoT-IoT,test,32,Reconnaissance,1,0.155343,0.262934,KNOWN
BoT-IoT,test,33,DoS,1,0.167987,0.262934,KNOWN
BoT-IoT,test,34,DDoS,1,0.302089,0.262934,ZERO_DAY
BoT-IoT,test,35,Normal,1,0.093249,0.262934,KNOWN
BoT-IoT,test,36,DDoS,1,0.068895,0.262934,KNOWN
BoT-IoT,test,37,DoS,1,0.065339,0.262934,KNOWN
BoT-IoT,test,38,DoS,1,0.019018,0.262934,KNOWN
BoT-IoT,test,39,DDoS,1,0.114285,0.262934,KNOWN
BoT-IoT,test,40,DDoS,1,0.059045,0.262934,KNOWN
BoT-IoT,test,41,DDoS,1,0.067536,0.262934,KNOWN
BoT-IoT,test,42,DDoS,1,0.006577,0.262934,KNOWN
BoT-IoT,test,43,DoS,1,0.067302,0.262934,KNOWN
BoT-IoT,test,44,DoS,1,0.03043,0.262934,KNOWN
BoT-IoT,test,45,DDoS,1,0.058072,0.262934,KNOWN
BoT-IoT,test,46,DoS,1,0.262827,0.262934,KNOWN
BoT-IoT,test,47,Normal,1,0.038838,0.262934,KNOWN
BoT-IoT,test,48,DoS,1,0.149899,0.262934,KNOWN
BoT-IoT,test,49,DDoS,1,0.13459,0.262934,KNOWN
BoT-IoT,test,50,DDoS,1,0.232528,0.262934,KNOWN
BoT-IoT,test,51,DDoS,1,0.066465,0.262934,KNOWN
BoT-IoT,test,52,DoS,1,0.002887,0.262934,KNOWN
BoT-IoT,test,53,DoS,1,0.124581,0.262934,KNOWN
BoT-IoT,test,54,DDoS,1,0.00061,0.262934,KNOWN
BoT-IoT,test,55,DoS,1,0.038278,0.262934,KNOWN
BoT-IoT,test,56,DDoS,1,0.028592,0.262934,KNOWN
BoT-IoT,test,57,DoS,1,0.067538,0.262934,KNOWN
BoT-IoT,test,58,DoS,1,0.149391,0.262934,KNOWN
BoT-IoT,test,59,DDoS,1,0.022045,0.262934,KNOWN
BoT-IoT,test,60,DDoS,1,0.024884,0.262934,KNOWN
BoT-IoT,test,61,Reconnaissance,1,0.063115,0.262934,KNOWN
BoT-IoT,test,62,DoS,1,0.041279,0.262934,KNOWN
BoT-IoT,test,63,DDoS,1,0.042841,0.262934,KNOWN
BoT-IoT,test,64,DDoS,1,0.243073,0.262934,KNOWN
BoT-IoT,test,65,DoS,1,0.124358,0.262934,KNOWN
BoT-IoT,test,66,DDoS,1,0.001877,0.262934,KNOWN
BoT-IoT,test,67,DoS,1,0.016409,0.262934,KNOWN
BoT-IoT,test,68,Normal,1,0.124618,0.262934,KNOWN
BoT-IoT,test,69,DDoS,1,0.037702,0.262934,KNOWN
BoT-IoT,test,70,DDoS,1,0.033217,0.262934,KNOWN
BoT-IoT,test,71,DDoS,1,0.030804,0.262934,KNOWN
BoT-IoT,test,72,DoS,1,0.00981,0.262934,KNOWN
BoT-IoT,test,73,DDoS,1,0.096951,0.262934,KNOWN
BoT-IoT,test,74,DoS,1,0.095358,0.262934,KNOWN
BoT-IoT,test,75,DoS,1,0.076569,0.262934,KNOWN
BoT-IoT,test,76,DDoS,1,0.103108,0.262934,KNOWN
BoT-IoT,test,77,Normal,1,0.063483,0.262934,KNOWN
BoT-IoT,test,78,DDoS,1,0.019755,0.262934,KNOWN
BoT-IoT,test,79,DoS,1,0.282303,0.262934,ZERO_DAY
BoT-IoT,test,80,DDoS,1,0.077946,0.262934,KNOWN
BoT-IoT,test,81,DoS,1,0.218669,0.262934,KNOWN
BoT-IoT,test,82,Normal,1,0.140205,0.262934,KNOWN
BoT-IoT,test,83,DDoS,1,0.08579,0.262934,KNOWN
BoT-IoT,test,84,DDoS,1,0.304448,0.262934,ZERO_DAY
BoT-IoT,test,85,DDoS,1,0.106362,0.262934,KNOWN
BoT-IoT,test,86,DDoS,1,0.022501,0.262934,KNOWN
BoT-IoT,test,87,DoS,1,0.052221,0.262934,KNOWN
BoT-IoT,test,88,DDoS,1,0.28942,0.262934,ZERO_DAY
BoT-IoT,test,89,DoS,1,0.051127,0.262934,KNOWN
BoT-IoT,test,90,DoS,1,0.132285,0.262934,KNOWN
BoT-IoT,test,91,DDoS,1,0.110361,0.262934,KNOWN
BoT-IoT,test,92,DoS,1,0.163166,0.262934,KNOWN
BoT-IoT,test,93,DDoS,1,0.094747,0.262934,KNOWN
BoT-IoT,test,94,DDoS,1,0.049584,0.262934,KNOWN
BoT-IoT,test,95,DoS,1,0.13418,0.262934,KNOWN
BoT-IoT,test,96,DoS,1,0.359751,0.262934,ZERO_DAY
BoT-IoT,test,97,DoS,1,0.073348,0.262934,KNOWN
BoT-IoT,test,98,Reconnaissance,1,0.027139,0.262934,KNOWN
BoT-IoT,test,99,Reconnaissance,1,0.176394,0.262934,KNOWN
BoT-IoT,test,100,Normal,1,0.11372,0.262934,KNOWN
BoT-IoT,test,101,DDoS,1,0.082281,0.262934,KNOWN
BoT-IoT,test,102,DoS,1,0.165587,0.262934,KNOWN
BoT-IoT,test,103,Normal,1,0.038574,0.262934,KNOWN
BoT-IoT,test,104,DDoS,1,0.177732,0.262934,KNOWN
BoT-IoT,test,105,DoS,1,0.11616,0.262934,KNOWN
BoT-IoT,test,106,DDoS,1,0.386296,0.262934,ZERO_DAY
BoT-IoT,test,107,DDoS,1,0.240201,0.262934,KNOWN
BoT-IoT,test,108,Normal,1,0.09811,0.262934,KNOWN
BoT-IoT,test,109,DoS,1,0.010349,0.262934,KNOWN
BoT-IoT,test,110,DDoS,1,0.07412,0.262934,KNOWN
BoT-IoT,test,111,DoS,1,0.255511,0.262934,KNOWN
BoT-IoT,test,112,DDoS,1,0.057491,0.262934,KNOWN
BoT-IoT,test,113,DoS,1,0.096255,0.262934,KNOWN
BoT-IoT,test,114,DDoS,1,0.026875,0.262934,KNOWN
BoT-IoT,test,115,DDoS,1,0.029539,0.262934,KNOWN
BoT-IoT,test,116,DDoS,1,0.048328,0.262934,KNOWN
BoT-IoT,test,117,DDoS,1,0.057297,0.262934,KNOWN
BoT-IoT,test,118,DDoS,1,0.144575,0.262934,KNOWN
BoT-IoT,test,119,DoS,1,0.065977,0.262934,KNOWN
BoT-IoT,test,120,DDoS,1,0.026803,0.262934,KNOWN
BoT-IoT,test,121,DoS,1,0.051283,0.262934,KNOWN
BoT-IoT,test,122,DoS,1,0.074693,0.262934,KNOWN
BoT-IoT,test,123,DDoS,1,0.073794,0.262934,KNOWN
BoT-IoT,test,124,DDoS,1,0.032868,0.262934,KNOWN
BoT-IoT,test,125,DDoS,1,0.039483,0.262934,KNOWN
BoT-IoT,test,126,DoS,1,0.019911,0.262934,KNOWN
BoT-IoT,test,127,DDoS,1,0.260998,0.262934,KNOWN
BoT-IoT,test,128,DDoS,1,0.399108,0.262934,ZERO_DAY
BoT-IoT,test,129,DDoS,1,0.050569,0.262934,KNOWN
BoT-IoT,test,130,DDoS,1,0.176585,0.262934,KNOWN
BoT-IoT,test,131,DDoS,1,0.063036,0.262934,KNOWN
BoT-IoT,test,132,DoS,1,0.383803,0.262934,ZERO_DAY
BoT-IoT,test,133,DoS,1,0.176379,0.262934,KNOWN
BoT-IoT,test,134,Reconnaissance,1,0.048013,0.262934,KNOWN
BoT-IoT,test,135,DDoS,1,0.023157,0.262934,KNOWN
BoT-IoT,test,136,DDoS,1,0.03306,0.262934,KNOWN
BoT-IoT,test,137,DDoS,1,0.016289,0.262934,KNOWN
BoT-IoT,test,138,DoS,1,0.369581,0.262934,ZERO_DAY
BoT-IoT,test,139,DDoS,1,0.047428,0.262934,KNOWN
BoT-IoT,test,140,DDoS,1,0.093668,0.262934,KNOWN
BoT-IoT,test,141,DoS,1,0.018427,0.262934,KNOWN
BoT-IoT,test,142,DDoS,1,0.033169,0.262934,KNOWN
BoT-IoT,test,143,DDoS,1,0.102416,0.262934,KNOWN
BoT-IoT,test,144,Reconnaissance,1,0.025314,0.262934,KNOWN
BoT-IoT,test,145,DDoS,1,0.079173,0.262934,KNOWN
BoT-IoT,test,146,DDoS,1,0.004859,0.262934,KNOWN
BoT-IoT,test,147,DoS,1,0.171406,0.262934,KNOWN
BoT-IoT,test,148,DoS,1,0.046766,0.262934,KNOWN
BoT-IoT,test,149,DDoS,1,0.092136,0.262934,KNOWN
BoT-IoT,test,150,DoS,1,0.108217,0.262934,KNOWN
BoT-IoT,test,151,DoS,1,0.097829,0.262934,KNOWN
BoT-IoT,test,152,DoS,1,0.168383,0.262934,KNOWN
BoT-IoT,test,153,DoS,1,0.080614,0.262934,KNOWN
BoT-IoT,test,154,DDoS,1,0.161079,0.262934,KNOWN
BoT-IoT,test,155,DoS,1,0.068238,0.262934,KNOWN
BoT-IoT,test,156,DDoS,1,0.079316,0.262934,KNOWN
BoT-IoT,test,157,DoS,1,0.182407,0.262934,KNOWN
