dataset,split,sample_id,true_label_multiclass,y_known,nonconformity_s,threshold_q,decision
CICIoT2023,test,0,DDoS-TCP_Flood,1,0.051431,0.300551,KNOWN
CICIoT2023,test,1,DDoS-ICMP_Flood,1,0.180981,0.300551,KNOWN
CICIoT2023,test,2,DDoS-SYN_Flood,1,0.234414,0.300551,KNOWN
CICIoT2023,test,3,DDoS-PSHACK_Flood,1,0.05118,0.300551,KNOWN
CICIoT2023,test,4,DDoS-PSHACK_Flood,1,0.084147,0.300551,KNOWN
CICIoT2023,test,5,Recon-OSScan,1,0.002754,0.300551,KNOWN
CICIoT2023,test,6,DoS-UDP_Flood,1,0.075361,0.300551,KNOWN
CICIoT2023,test,7,DDoS-SynonymousIP_Flood,1,0.022204,0.300551,KNOWN
CICIoT2023,test,8,DDoS-ICMP_Flood,1,0.012455,0.300551,KNOWN
CICIoT2023,test,9,DDoS-PSHACK_Flood,1,0.064971,0.300551,KNOWN
CICIoT2023,test,10,DDoS-SYN_Flood,1,0.019329,0.300551,KNOWN
CICIoT2023,test,11,DoS-UDP_Flood,1,0.149829,0.300551,KNOWN
CICIoT2023,test,12,DDoS-SYN_Flood,1,0.062678,0.300551,KNOWN
CICIoT2023,test,13,DDoS-PSHACK_Flood,1,0.198747,0.300551,KNOWN
CICIoT2023,test,14,DoS-UDP_Flood,1,0.216983,0.300551,KNOWN
CICIoT2023,test,15,DDoS-RSTFINFlood,1,0.132203,0.300551,KNOWN
CICIoT2023,test,16,DDoS-ICMP_Flood,1,0.18645,0.300551,KNOWN
CICIoT2023,test,17,DDoS-PSHACK_Flood,1,0.246079,0.300551,KNOWN
CICIoT2023,test,18,DDoS-SynonymousIP_Flood,1,0.021786,0.300551,KNOWN
CICIoT2023,test,19,DDoS-PSHACK_Flood,1,0.29357,0.300551,KNOWN
CICIoT2023,test,20,DDoS-ICMP_Flood,1,0.304199,0.300551,ZERO_DAY
CICIoT2023,test,21,DoS-UDP_Flood,1,0.498367,0.300551,ZERO_DAY
CICIoT2023,test,22,DDoS-ICMP_Flood,1,0.230584,0.300551,KNOWN
CICIoT2023,test,23,DoS-TCP_Flood,1,0.058557,0.300551,KNOWN
CICIoT2023,test,24,DDoS-SYN_Flood,1,0.21811,0.300551,KNOWN
CICIoT2023,test,25,DoS-SYN_Flood,1,0.258378,0.300551,KNOWN
CICIoT2023,test,26,DDoS-PSHACK_Flood,1,0.11925,0.300551,KNOWN
CICIoT2023,test,27,DDoS-ICMP_Flood,1,0.165888,0.300551,KNOWN
CICIoT2023,test,28,DDoS-UDP_Flood,1,0.010064,0.300551,KNOWN
CICIoT2023,test,29,DDoS-PSHACK_Flood,1,0.025206,0.300551,KNOWN
CICIoT2023,test,30,DDoS-UDP_Flood,1,0.191927,0.300551,KNOWN
CICIoT2023,test,31,DDoS-SYN_Flood,1,0.120575,0.300551,KNOWN
CICIoT2023,test,32,DoS-TCP_Flood,1,0.176723,0.300551,KNOWN
CICIoT2023,test,33,DDoS-PSHACK_Flood,1,0.067746,0.300551,KNOWN
CICIoT2023,test,34,DDoS-RSTFINFlood,1,0.017916,0.300551,KNOWN
CICIoT2023,test,35,DDoS-UDP_Flood,1,0.078946,0.300551,KNOWN
CICIoT2023,test,36,DDoS-TCP_Flood,1,0.028756,0.300551,KNOWN
CICIoT2023,test,37,DDoS-TCP_Flood,1,0.041981,0.300551,KNOWN
CICIoT2023,test,38,DDoS-SynonymousIP_Flood,1,0.074637,0.300551,KNOWN
CICIoT2023,test,39,DDoS-TCP_Flood,1,0.241886,0.300551,KNOWN
CICIoT2023,test,40,DDoS-TCP_Flood,1,0.069169,0.300551,KNOWN
CICIoT2023,test,41,DDoS-UDP_Flood,1,0.008227,0.300551,KNOWN
CICIoT2023,test,42,DoS-SYN_Flood,1,0.118618,0.300551,KNOWN
CICIoT2023,test,43,DDoS-PSHACK_Flood,1,0.076821,0.300551,KNOWN
CICIoT2023,test,44,DDoS-ACK_Fragmentation,1,0.108169,0.300551,KNOWN
CICIoT2023,test,45,DDoS-ACK_Fragmentation,1,0.01892,0.300551,KNOWN
CICIoT2023,test,46,DDoS-ICMP_Flood,1,0.102898,0.300551,KNOWN
CICIoT2023,test,47,DDoS-ICMP_Flood,1,0.011039,0.300551,KNOWN
CICIoT2023,test,48,DDoS-UDP_Flood,1,0.15188,0.300551,KNOWN
CICIoT2023,test,49,DDoS-TCP_Flood,1,0.291403,0.300551,KNOWN
CICIoT2023,test,50,DDoS-RSTFINFlood,1,0.068879,0.300551,KNOWN
CICIoT2023,test,51,DDoS-ICMP_Flood,1,0.069747,0.300551,KNOWN
CICIoT2023,test,52,DDoS-TCP_Flood,1,0.044069,0.300551,KNOWN
CICIoT2023,test,53,DDoS-SYN_Flood,1,0.124342,0.300551,KNOWN
CICIoT2023,test,54,Recon-OSScan,1,0.330607,0.300551,ZERO_DAY
CICIoT2023,test,55,DDoS-SYN_Flood,1,0.066033,0.300551,KNOWN
CICIoT2023,test,56,DDoS-UDP_Flood,1,0.136162,0.300551,KNOWN
CICIoT2023,test,57,DDoS-PSHACK_Flood,1,0.222616,0.300551,KNOWN
CICIoT2023,test,58,DoS-UDP_Flood,1,0.007944,0.300551,KNOWN
CICIoT2023,test,59,DDoS-SYN_Flood,1,0.150459,0.300551,KNOWN
CICIoT2023,test,60,DDoS-TCP_Flood,1,0.126724,0.300551,KNOWN
CICIoT2023,test,61,DDoS-ICMP_Flood,1,0.152509,0.300551,KNOWN
CICIoT2023,test,62,DoS-UDP_Flood,1,0.190271,0.300551,KNOWN
CICIoT2023,test,63,DDoS-SynonymousIP_Flood,1,0.170092,0.300551,KNOWN
