dataset,split,sample_id,true_label_multiclass,y_known,nonconformity_s,threshold_q,decision
UNSW-NB15,test,0,Fuzzers,1,0.29535,0.38338,KNOWN
UNSW-NB15,test,1,Exploits,1,0.16714,0.38338,KNOWN
UNSW-NB15,test,2,Normal,1,0.254193,0.38338,KNOWN
UNSW-NB15,test,3,Normal,1,0.09035,0.38338,KNOWN
UNSW-NB15,test,4,Normal,1,0.296378,0.38338,KNOWN
UNSW-NB15,test,5,Exploits,1,0.375066,0.38338,KNOWN
UNSW-NB15,test,6,Fuzzers,1,0.184721,0.38338,KNOWN
UNSW-NB15,test,7,Fuzzers,1,0.09231,0.38338,KNOWN
UNSW-NB15,test,8,Normal,1,0.134332,0.38338,KNOWN
UNSW-NB15,test,9,Exploits,1,0.154455,0.38338,KNOWN
UNSW-NB15,test,10,Normal,1,0.217303,0.38338,KNOWN
UNSW-NB15,test,11,Reconnaissance,1,0.111201,0.38338,KNOWN
UNSW-NB15,test,12,Fuzzers,1,0.069168,0.38338,KNOWN
UNSW-NB15,test,13,Normal,1,0.096821,0.38338,KNOWN
UNSW-NB15,test,14,Normal,1,0.140166,0.38338,KNOWN
UNSW-NB15,test,15,Exploits,1,0.39435,0.38338,ZERO_DAY
UNSW-NB15,test,16,Reconnaissance,1,0.112734,0.38338,KNOWN
UNSW-NB15,test,17,Fuzzers,1,0.092027,0.38338,KNOWN
UNSW-NB15,test,18,Normal,1,0.145364,0.38338,KNOWN
UNSW-NB15,test,19,Exploits,1,0.323777,0.38338,KNOWN
UNSW-NB15,test,20,Normal,1,0.166,0.38338,KNOWN
UNSW-NB15,test,21,Exploits,1,0.162218,0.38338,KNOWN
UNSW-NB15,test,22,Exploits,1,0.039555,0.38338,KNOWN
UNSW-NB15,test,23,Normal,1,0.038977,0.38338,KNOWN
UNSW-NB15,test,24,Fuzzers,1,0.085786,0.38338,KNOWN
UNSW-NB15,test,25,Normal,1,0.176958,0.38338,KNOWN
UNSW-NB15,test,26,Normal,1,0.192968,0.38338,KNOWN
UNSW-NB15,test,27,Normal,1,0.101636,0.38338,KNOWN
UNSW-NB15,test,28,Normal,1,0.200441,0.38338,KNOWN
UNSW-NB15,test,29,Normal,1,0.182118,0.38338,KNOWN
UNSW-NB15,test,30,Normal,1,0.145052,0.38338,KNOWN
UNSW-NB15,test,31,Normal,1,0.157961,0.38338,KNOWN
UNSW-NB15,test,32,Normal,1,0.257348,0.38338,KNOWN
UNSW-NB15,test,33,Normal,1,0.08757,0.38338,KNOWN
UNSW-NB15,test,34,Normal,1,0.254289,0.38338,KNOWN
UNSW-NB15,test,35,Reconnaissance,1,0.171003,0.38338,KNOWN
UNSW-NB15,test,36,Normal,1,0.096139,0.38338,KNOWN
UNSW-NB15,test,37,DoS,1,0.247552,0.38338,KNOWN
UNSW-NB15,test,38,Normal,1,0.257753,0.38338,KNOWN
UNSW-NB15,test,39,Reconnaissance,1,0.023385,0.38338,KNOWN
UNSW-NB15,test,40,Normal,1,0.171301,0.38338,KNOWN
UNSW-NB15,test,41,Exploits,1,0.188612,0.38338,KNOWN
UNSW-NB15,test,42,Normal,1,0.146751,0.38338,KNOWN
