dataset,test,statistic,p_raw,effect,effect_name,detail,frozen,p_holm,violation
CICIoT2023,conformal_pvalue_uniformity (descriptive),0.006525,,0.006525,KS D,mean p=0.5003 (0.5 under exchangeability); frac(p<=alpha)=0.0486; one-sample KS null invalid (dependent p-values) — inference via cal_vs_test_ks2,True,,False
CICIoT2023,cal_vs_test_ks2,0.006567,0.8076310232615718,0.006567,KS D,"n_cal=18883, m_test=18883",True,1.0,False
CICIoT2023,cal_vs_test_mannwhitney,178384756.0,0.924109825964059,0.000566,rank-biserial r,mean s: cal=0.120664 test=0.120451,True,1.0,False
CICIoT2023,class_mix_chi2,0.0,1.0,0.0,Cramer's V,"31 classes, dof=30",True,1.0,False
CICIoT2023,flag_rate_by_class_chi2,12.080211,0.6729478402579869,,,"16 classes with expected>=5.0, dof=15",True,1.0,False
CICIoT2023,index_drift_cal_spearman,-0.001592,0.8268376170598417,-0.001592,Spearman rho,score vs sample_id (time-ordered splits break exchangeability),True,1.0,False
CICIoT2023,index_drift_test_spearman,-0.002794,0.7010546783606013,-0.002794,Spearman rho,score vs sample_id (time-ordered splits break exchangeability),True,1.0,False
BoT-IoT,conformal_pvalue_uniformity (descriptive),0.010997,,0.010997,KS D,mean p=0.4962 (0.5 under exchangeability); frac(p<=alpha)=0.0530; one-sample KS null invalid (dependent p-values) — inference via cal_vs_test_ks2,True,,False
BoT-IoT,cal_vs_test_ks2,0.011027,0.20681212075374,0.011027,KS D,"n_cal=18591, m_test=18591",True,1.0,False
BoT-IoT,cal_vs_test_mannwhitney,171476801.0,0.19676188294719954,-0.00773,rank-biserial r,mean s: cal=0.099333 test=0.100641,True,1.0,False
BoT-IoT,class_mix_chi2,0.0,1.0,0.0,Cramer's V,"4 classes, dof=3",True,1.0,False
BoT-IoT,flag_rate_by_class_chi2,5.692594,0.12756253334230622,,,"4 classes with expected>=5.0, dof=3",True,1.0,False
BoT-IoT,index_drift_cal_spearman,-0.003108,0.6717987064783337,-0.003108,Spearman rho,score vs sample_id (time-ordered splits break exchangeability),True,1.0,False
BoT-IoT,index_drift_test_spearman,-0.013679,0.06217756571609622,-0.013679,Spearman rho,score vs sample_id (time-ordered splits break exchangeability),True,1.0,False
UNSW-NB15,conformal_pvalue_uniformity (descriptive),0.012437,,0.012437,KS D,mean p=0.5046 (0.5 under exchangeability); frac(p<=alpha)=0.0463; one-sample KS null invalid (dependent p-values) — inference via cal_vs_test_ks2,True,,False
UNSW-NB15,cal_vs_test_ks2,0.012385,0.41757812055006616,0.012385,KS D,"n_cal=10112, m_test=10086",True,1.0,False
UNSW-NB15,cal_vs_test_mannwhitney,51460619.0,0.2609217006759622,0.009134,rank-biserial r,mean s: cal=0.180696 test=0.179069,True,1.0,False
UNSW-NB15,class_mix_chi2,0.334805,0.9998550656093793,0.004071,Cramer's V,"8 classes, dof=7",True,1.0,False
UNSW-NB15,flag_rate_by_class_chi2,6.556546,0.1612622093075075,,,"5 classes with expected>=5.0, dof=4",True,1.0,False
UNSW-NB15,index_drift_cal_spearman,0.012901,0.19457088665399871,0.012901,Spearman rho,score vs sample_id (time-ordered splits break exchangeability),True,1.0,False
UNSW-NB15,index_drift_test_spearman,0.011816,0.23538067066631585,0.011816,Spearman rho,score vs sample_id (time-ordered splits break exchangeability),True,1.0,False
