dataset,system,arm,source_kind,n_cal,k,q,target_alpha,achieved_alpha,known_coverage,m_test,false_flags,band_lo_rate,band_hi_rate,expected_rate,in_band,alpha_le_target,n_zeroday,zeroday_detected,true_zeroday_recall,threshold_origin,provenance
CICIoT2023,QS-Net (CQ-ZDR),quantum,dummy,18883,17940,0.300551,0.05,0.048615,0.951385,18883,918,0.044326,0.055923,0.049989,True,True,10984,10982.0,0.999818,"frozen (Day 21) — applied, not recalibrated",Day 22 adapter at the frozen q
CICIoT2023,Isolation Forest,classical,real,18883,17940,0.513429,0.05,0.0483,0.9517,18883,912,0.044326,0.055923,0.049989,True,True,10984,,0.9978,recalibrated at alpha=0.05 on the same rule (Day 19),"Day 19 frozen Day-12 model, real features"
CICIoT2023,Autoencoder,classical,real,18883,17940,0.534323,0.05,0.0475,0.9525,18883,897,0.044326,0.055923,0.049989,True,True,10984,,0.4994,recalibrated at alpha=0.05 on the same rule (Day 19),"Day 19 frozen Day-12 model, real features"
BoT-IoT,QS-Net (CQ-ZDR),quantum,dummy,18591,17663,0.262934,0.05,0.053036,0.946964,18591,986,0.044269,0.055941,0.049968,True,False,683,65.0,0.095168,"frozen (Day 21) — applied, not recalibrated",Day 22 adapter at the frozen q
BoT-IoT,Isolation Forest,classical,real,18591,17663,0.49003,0.05,0.0458,0.9542,18591,851,0.044269,0.055941,0.049968,True,True,683,,0.7233,recalibrated at alpha=0.05 on the same rule (Day 19),"Day 19 frozen Day-12 model, real features"
BoT-IoT,OC-SVM,classical,real,18591,17663,-0.774626,0.05,0.0478,0.9522,18591,889,0.044269,0.055941,0.049968,True,True,683,,0.7218,recalibrated at alpha=0.05 on the same rule (Day 19),"Day 19 frozen Day-12 model, real features"
BoT-IoT,Autoencoder,classical,real,18591,17663,0.099035,0.05,0.0501,0.9499,18591,931,0.044269,0.055941,0.049968,True,False,683,,0.5417,recalibrated at alpha=0.05 on the same rule (Day 19),"Day 19 frozen Day-12 model, real features"
UNSW-NB15,QS-Net (CQ-ZDR),quantum,dummy,10112,9608,0.38338,0.05,0.046302,0.953698,10086,467,0.042336,0.0581,0.049936,True,True,1216,469.0,0.385691,"frozen (Day 21) — applied, not recalibrated",Day 22 adapter at the frozen q
UNSW-NB15,Isolation Forest,classical,real,10112,9608,0.558992,0.05,0.0505,0.9495,10086,509,0.042336,0.0581,0.049936,True,False,1216,,0.0,recalibrated at alpha=0.05 on the same rule (Day 19),"Day 19 frozen Day-12 model, real features"
UNSW-NB15,OC-SVM,classical,real,10112,9608,5.783827,0.05,0.0513,0.9487,10086,517,0.042336,0.0581,0.049936,True,False,1216,,0.0033,recalibrated at alpha=0.05 on the same rule (Day 19),"Day 19 frozen Day-12 model, real features"
UNSW-NB15,Autoencoder,classical,real,10112,9608,1.710545,0.05,0.0519,0.9481,10086,523,0.042336,0.0581,0.049936,True,False,1216,,0.2656,recalibrated at alpha=0.05 on the same rule (Day 19),"Day 19 frozen Day-12 model, real features"
