dataset,class,m_test,false_flags,fzr,band_lo_rate,band_hi_rate,expected_rate,in_band,below_conditional_floor
CICIoT2023,Backdoor_Malware,9,1,0.111111,0.0,0.333333,0.049989,True,True
CICIoT2023,BenignTraffic,458,23,0.050218,0.026201,0.078603,0.049989,True,False
CICIoT2023,BrowserHijacking,16,1,0.0625,0.0,0.25,0.049989,True,True
CICIoT2023,CommandInjection,13,0,0.0,0.0,0.230769,0.049989,True,True
CICIoT2023,DDoS-ACK_Fragmentation,120,4,0.033333,0.008333,0.108333,0.049989,True,False
CICIoT2023,DDoS-HTTP_Flood,70,3,0.042857,0.0,0.128571,0.049989,True,False
CICIoT2023,DDoS-ICMP_Flood,3025,150,0.049587,0.039339,0.061488,0.049989,True,False
CICIoT2023,DDoS-ICMP_Fragmentation,190,9,0.047368,0.015789,0.094737,0.049989,True,False
CICIoT2023,DDoS-PSHACK_Flood,1712,96,0.056075,0.036215,0.064836,0.049989,True,False
CICIoT2023,DDoS-RSTFINFlood,1688,77,0.045616,0.036137,0.064573,0.049989,True,False
CICIoT2023,DDoS-SYN_Flood,1706,93,0.054513,0.036342,0.064478,0.049989,True,False
CICIoT2023,DDoS-SlowLoris,62,4,0.064516,0.0,0.129032,0.049989,True,False
CICIoT2023,DDoS-SynonymousIP_Flood,1509,70,0.046388,0.035785,0.065606,0.049989,True,False
CICIoT2023,DDoS-TCP_Flood,1892,85,0.044926,0.036998,0.063953,0.049989,True,False
CICIoT2023,DDoS-UDP_Flood,2268,113,0.049824,0.037919,0.063051,0.049989,True,False
CICIoT2023,DDoS-UDP_Fragmentation,120,6,0.05,0.008333,0.108333,0.049989,True,False
CICIoT2023,DNS_Spoofing,76,6,0.078947,0.0,0.118421,0.049989,True,False
CICIoT2023,DictionaryBruteForce,29,3,0.103448,0.0,0.172414,0.049989,True,False
CICIoT2023,DoS-HTTP_Flood,182,15,0.082418,0.010989,0.093407,0.049989,True,False
CICIoT2023,DoS-SYN_Flood,850,32,0.037647,0.031765,0.070588,0.049989,True,False
CICIoT2023,DoS-TCP_Flood,1115,52,0.046637,0.033184,0.068161,0.049989,True,False
CICIoT2023,DoS-UDP_Flood,1387,62,0.044701,0.035328,0.06633,0.049989,True,False
CICIoT2023,MITM-ArpSpoofing,129,5,0.03876,0.007752,0.108527,0.049989,True,False
CICIoT2023,Recon-HostDiscovery,58,2,0.034483,0.0,0.137931,0.049989,True,False
CICIoT2023,Recon-OSScan,42,1,0.02381,0.0,0.142857,0.049989,True,False
CICIoT2023,Recon-PingSweep,4,0,0.0,0.0,0.5,0.049989,True,True
CICIoT2023,Recon-PortScan,35,0,0.0,0.0,0.171429,0.049989,True,False
CICIoT2023,SqlInjection,15,0,0.0,0.0,0.266667,0.049989,True,True
CICIoT2023,Uploading_Attack,4,0,0.0,0.0,0.5,0.049989,True,True
CICIoT2023,VulnerabilityScan,90,5,0.055556,0.0,0.122222,0.049989,True,False
CICIoT2023,XSS,9,0,0.0,0.0,0.333333,0.049989,True,True
