dataset,seed,n_cal,k,m_test,q,false_flags,fzr,band_lo_rate,band_hi_rate,expected_rate,in_band,n_zeroday,zeroday_detected,zeroday_recall
CICIoT2023,42,18883,17940,18883,0.29865,968,0.051263,0.044326,0.055923,0.049989,True,10984,10982,0.999818
CICIoT2023,43,18883,17940,18883,0.297419,993,0.052587,0.044326,0.055923,0.049989,True,10984,10982,0.999818
CICIoT2023,44,18883,17940,18883,0.29865,968,0.051263,0.044326,0.055923,0.049989,True,10984,10982,0.999818
CICIoT2023,45,18883,17940,18883,0.296144,1018,0.053911,0.044326,0.055923,0.049989,True,10984,10982,0.999818
CICIoT2023,46,18883,17940,18883,0.299902,939,0.049727,0.044326,0.055923,0.049989,True,10984,10982,0.999818
BoT-IoT,42,18591,17663,18591,0.26723,873,0.046958,0.044269,0.055941,0.049968,True,683,62,0.090776
BoT-IoT,43,18591,17663,18591,0.263474,975,0.052445,0.044269,0.055941,0.049968,True,683,64,0.093704
BoT-IoT,44,18591,17663,18591,0.265472,922,0.049594,0.044269,0.055941,0.049968,True,683,63,0.09224
BoT-IoT,45,18591,17663,18591,0.264693,944,0.050777,0.044269,0.055941,0.049968,True,683,64,0.093704
BoT-IoT,46,18591,17663,18591,0.264637,947,0.050939,0.044269,0.055941,0.049968,True,683,64,0.093704
UNSW-NB15,42,10112,9608,10086,0.380584,523,0.051854,0.042336,0.0581,0.049936,True,1216,479,0.393914
UNSW-NB15,43,10112,9608,10086,0.380333,527,0.052251,0.042336,0.0581,0.049936,True,1216,479,0.393914
UNSW-NB15,44,10112,9608,10086,0.382863,475,0.047095,0.042336,0.0581,0.049936,True,1216,473,0.38898
UNSW-NB15,45,10112,9608,10086,0.379101,544,0.053936,0.042336,0.0581,0.049936,True,1216,484,0.398026
UNSW-NB15,46,10112,9608,10086,0.382104,492,0.04878,0.042336,0.0581,0.049936,True,1216,474,0.389803
