dataset,n_sub,n_rep,target_alpha,conformal_mean_fzr,heuristic_mean_fzr,conformal_le_alpha,heuristic_exceeds_alpha
CICIoT2023,20,300,0.05,0.051425,0.096671,False,True
CICIoT2023,50,300,0.05,0.036279,0.073334,True,True
CICIoT2023,100,300,0.05,0.049482,0.059024,True,True
CICIoT2023,200,300,0.05,0.048817,0.053584,True,True
CICIoT2023,500,300,0.05,0.047208,0.049361,True,False
BoT-IoT,20,300,0.05,0.047618,0.095277,True,True
BoT-IoT,50,300,0.05,0.038645,0.08094,True,True
BoT-IoT,100,300,0.05,0.052083,0.062865,False,True
BoT-IoT,200,300,0.05,0.053236,0.058413,False,True
BoT-IoT,500,300,0.05,0.051805,0.05384,False,True
UNSW-NB15,20,300,0.05,0.040833,0.088079,True,True
UNSW-NB15,50,300,0.05,0.036714,0.074309,True,True
UNSW-NB15,100,300,0.05,0.046436,0.055555,True,True
UNSW-NB15,200,300,0.05,0.046431,0.05096,True,True
UNSW-NB15,500,300,0.05,0.046326,0.048004,True,False
