gate,check,scope,provenance,expected,observed,delta,tol,verdict
G1 REPRODUCE,FIG2/BoT-IoT/band_hi_rate,FIG2,recomputed,0.055941,0.055941,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/band_lo_rate,FIG2,recomputed,0.044269,0.044269,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/max_fzr,FIG2,recomputed,0.052445,0.052445,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/mean_fzr,FIG2,recomputed,0.050143,0.050143,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/min_fzr,FIG2,recomputed,0.046958,0.046958,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/per_seed/42/fzr,FIG2,recomputed,0.046958,0.046958,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/per_seed/43/fzr,FIG2,recomputed,0.052445,0.052445,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/per_seed/44/fzr,FIG2,recomputed,0.049594,0.049594,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/per_seed/45/fzr,FIG2,recomputed,0.050777,0.050777,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/per_seed/46/fzr,FIG2,recomputed,0.050939,0.050939,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/BoT-IoT/std_fzr,FIG2,recomputed,0.002048,0.002048,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/band_hi_rate,FIG2,recomputed,0.055923,0.055923,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/band_lo_rate,FIG2,recomputed,0.044326,0.044326,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/max_fzr,FIG2,recomputed,0.053911,0.053911,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/mean_fzr,FIG2,recomputed,0.05175,0.05175,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/min_fzr,FIG2,recomputed,0.049727,0.049727,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/per_seed/42/fzr,FIG2,recomputed,0.051263,0.051263,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/per_seed/43/fzr,FIG2,recomputed,0.052587,0.052587,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/per_seed/44/fzr,FIG2,recomputed,0.051263,0.051263,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/per_seed/45/fzr,FIG2,recomputed,0.053911,0.053911,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/per_seed/46/fzr,FIG2,recomputed,0.049727,0.049727,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/CICIoT2023/std_fzr,FIG2,recomputed,0.001576,0.001576,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/band_hi_rate,FIG2,recomputed,0.0581,0.0581,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/band_lo_rate,FIG2,recomputed,0.042336,0.042336,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/max_fzr,FIG2,recomputed,0.053936,0.053936,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/mean_fzr,FIG2,recomputed,0.050783,0.050783,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/min_fzr,FIG2,recomputed,0.047095,0.047095,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/per_seed/42/fzr,FIG2,recomputed,0.051854,0.051854,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/per_seed/43/fzr,FIG2,recomputed,0.052251,0.052251,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/per_seed/44/fzr,FIG2,recomputed,0.047095,0.047095,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/per_seed/45/fzr,FIG2,recomputed,0.053936,0.053936,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/per_seed/46/fzr,FIG2,recomputed,0.04878,0.04878,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/UNSW-NB15/std_fzr,FIG2,recomputed,0.002777,0.002777,0.0,1e-09,PASS
G1 REPRODUCE,FIG2/figure_written,FIG2,recomputed,True,True,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/allseed/mean_fzr,RQ1,recomputed,0.050143,0.050143,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/allseed/n_in_band,RQ1,recomputed,5,5,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/mcnemar/n01,RQ1,recomputed,1089,1089,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/mcnemar/n10,RQ1,recomputed,869,869,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/mcnemar/p_holm,RQ1,recomputed,1.452546824399946e-06,1.452546824399904e-06,4.1928130889087867e-20,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/perclass/n_classes,RQ1,recomputed,4,4,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/perclass/n_out_of_band,RQ1,recomputed,0,0,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/qsnet/accuracy,RQ1,recomputed,0.9396,0.9396,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/qsnet/auroc_ovr_macro,RQ1,recomputed,0.9509,0.9509,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/qsnet/macro_f1,RQ1,recomputed,0.8339,0.8339,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/xgboost/accuracy,RQ1,passthrough,0.9515,0.9515,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/xgboost/auroc_ovr_macro,RQ1,passthrough,0.9955,0.9955,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/BoT-IoT/xgboost/macro_f1,RQ1,passthrough,0.9727,0.9727,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/allseed/mean_fzr,RQ1,recomputed,0.05175,0.05175,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/allseed/n_in_band,RQ1,recomputed,5,5,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/mcnemar/n01,RQ1,recomputed,1803,1803,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/mcnemar/n10,RQ1,recomputed,176,176,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/mcnemar/p_holm,RQ1,recomputed,0.0,0.0,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/perclass/n_classes,RQ1,recomputed,31,31,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/perclass/n_out_of_band,RQ1,recomputed,0,0,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/qsnet/accuracy,RQ1,recomputed,0.9034,0.9034,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/qsnet/auroc_ovr_macro,RQ1,recomputed,0.9438,0.9438,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/qsnet/macro_f1,RQ1,recomputed,0.6598,0.6598,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/xgboost/accuracy,RQ1,passthrough,0.9896,0.9896,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/xgboost/auroc_ovr_macro,RQ1,passthrough,0.999,0.999,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/CICIoT2023/xgboost/macro_f1,RQ1,passthrough,0.8043,0.8043,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/UNSW-NB15/allseed/mean_fzr,RQ1,recomputed,0.050783,0.050783,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/UNSW-NB15/allseed/n_in_band,RQ1,recomputed,5,5,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/UNSW-NB15/mcnemar/n01,RQ1,recomputed,1656,1656,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/UNSW-NB15/mcnemar/n10,RQ1,recomputed,1602,1602,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/UNSW-NB15/mcnemar/p_holm,RQ1,recomputed,0.3531295497640803,0.3531295497640802,1.1102230246251565e-16,1e-09,PASS
G1 REPRODUCE,RQ1/UNSW-NB15/perclass/n_classes,RQ1,recomputed,8,8,0.0,1e-09,PASS
G1 REPRODUCE,RQ1/UNSW-NB15/perclass/n_out_of_band,RQ1,recomputed,0,0,0.0,1e-09,PASS
